name,score,ts
"Person:George Ketterman (1)",1756,"2023-02-01 16:27:00Z"
"Person:Holland Wilkinson (1)",1726,"2009-05-08 13:49:00Z"
"Person:Henry Ketterman (1)",1330,"2023-02-01 16:27:00Z"
"Person:Margaret Ketterman (1)",655,"2023-02-01 16:27:00Z"
"Person:William Speer (5)",646,"2017-07-06 18:55:00Z"
"Person:Clarence Eglinton (1)",624,"2011-01-14 14:36:00Z"
"Person:Oscar Ketterman (1)",614,"2023-02-01 16:27:00Z"
"Person:Paul Tonsing (9)",560,"2011-05-10 05:43:00Z"
"Person:Lucina Mecham (1)",559,"2012-12-02 17:16:00Z"
"Person:Lemuel Redd (2)",554,"2012-09-17 22:03:00Z"
"Person:David Ketterman (1)",530,"2023-02-01 16:27:00Z"
"Person:Francis McCown (3)",490,"2015-04-08 23:25:00Z"
"Person:Ida Harris (7)",469,"2012-09-27 23:22:00Z"
"Person:John Bassett (28)",463,"2011-07-11 14:44:00Z"
"Family:Thomas Shannon and Agnes Unknown (1)",439,"2017-10-18 18:32:00Z"
"Person:Minor Hickman (1)",439,"2021-05-17 14:56:00Z"
"Person:James Farmer (54)",434,"2011-05-14 04:54:00Z"
"Person:William Hill (108)",434,"2014-07-08 23:43:00Z"
"Person:Flora Keener (1)",417,"2016-10-21 18:12:00Z"
"Person:Jean-Baptiste Lalonde (5)",415,"2023-01-06 15:37:00Z"
"Family:Henry Patton and Sarah Lynn (1)",401,"2022-04-17 17:52:00Z"
"Person:Jennings Nix (1)",399,"2016-07-09 17:10:00Z"
"Person:John Martin (267)",394,"2017-09-20 19:26:00Z"
"Person:Christopher Schmillen (1)",392,"2007-12-16 17:25:00Z"
"Person:Mary Chivvis (6)",385,"2024-10-03 02:42:00Z"
"Person:Jesse Laughlin (1)",384,"2024-12-25 01:00:00Z"
"Person:Paul Tonsing (10)",379,"2011-05-09 21:50:00Z"
"Person:David John (5)",376,"2025-10-18 16:31:00Z"
"Person:Samuel Semple (4)",373,"2023-09-01 23:24:00Z"
"Person:William Gardner (71)",368,"2025-04-21 19:33:00Z"
"Person:Henning Borchgrevink (3)",367,"2012-03-29 03:42:00Z"
"Person:William Challiss (8)",364,"2017-09-30 18:40:00Z"
"Person:John Redd (1)",362,"2013-09-07 07:43:00Z"
"Person:Roy Ketterman (1)",360,"2023-02-01 16:27:00Z"
"Family:Samuel Francis and Emma Anderson (1)",359,"2025-03-16 01:39:00Z"
"Person:Goldie Simmons (1)",357,"2016-10-21 18:13:00Z"
"Person:Ralph Hill (10)",356,"2016-11-11 21:30:00Z"
"Person:John John (12)",355,"2025-10-18 16:30:00Z"
"Person:John Pittenger (60)",352,"2024-08-21 12:24:00Z"
"Person:John Ketterman (1)",347,"2023-02-01 16:27:00Z"
"Person:John Taylor (63)",345,"2007-06-09 14:55:00Z"
"Person:Emery Brunet (1)",339,"2023-01-06 15:30:00Z"
"Person:Daniel Nix (2)",337,"2014-04-23 07:19:00Z"
"Person:Flora Halsey (1)",336,"2012-06-10 03:23:00Z"
"Person:Leland Chivvis (1)",334,"2023-04-27 02:35:00Z"
"Person:Herbert Hopkins (1)",333,"2025-04-06 02:26:00Z"
"Person:Royal Eglinton (1)",328,"2011-01-14 14:35:00Z"
"Person:George Banks (1)",324,"2024-04-25 16:39:00Z"
"Person:William Banks (6)",324,"2015-01-17 20:29:00Z"
"Person:Jean-Baptiste Lalonde (4)",320,"2023-01-06 15:37:00Z"
"Person:Henry Thompson (43)",318,"2011-06-22 16:25:00Z"
"Person:Miles Chappell (7)",316,"2025-09-14 17:37:00Z"
"Person:Walter Todman (1)",315,"2019-12-10 15:39:00Z"
"Person:Jacob Bender (3)",313,"2007-09-11 22:43:00Z"
"Person:Earl Walston (1)",312,"2018-08-12 21:51:00Z"
"Person:William Redd (3)",310,"2007-10-12 04:09:00Z"
"Person:Franklin Westervelt (1)",308,"2013-07-17 15:47:00Z"
