year,count_users,count_pages,count_edits,count_newver,cumulative_newver,sum_score,sum_scoredif,scoredif_per_edit
2006,19,781,2187,781,781,14373,-1622,-0.741655235482396
2007,1125,901375,987168,901224,902005,4497013,882616,0.894088949398684
2008,839,545942,796811,506545,1408550,5035538,1690063,2.12103372066902
2009,1008,450678,873560,340424,1748974,5372924,1948271,2.23026580887403
2010,955,432591,821763,354916,2103890,3815377,1410125,1.71597528727869
2011,1658,459938,997211,317096,2420986,5989475,1926313,1.93170051273
2012,1714,472088,1076371,338168,2759154,7219763,2330055,2.16473223451765
2013,1450,544021,1369031,346339,3105493,9243032,2565204,1.87373697162446
2014,1283,395276,1020476,226265,3331758,7162931,1901862,1.86370086116675
2015,1047,339470,854558,193016,3524774,5908625,1726438,2.02027012794919
2016,802,249491,621092,115985,3640759,4201994,1003612,1.61588299317975
2017,644,384880,863935,137398,3778157,6123272,1091660,1.26359043215057
2018,615,214155,507774,95138,3873295,3748834,1023211,2.01509135954184
2019,508,185587,455015,69782,3943077,3346558,745462,1.63832401129633
2020,476,189766,485575,79464,4022541,3254964,714378,1.47120012356485
2021,482,223341,525815,80503,4103044,3439600,593500,1.1287239808678
2022,403,204156,482232,88159,4191203,3336974,837455,1.7366226214768
2023,357,173492,403234,59609,4250812,2851152,595209,1.47608832588522
2024,330,171163,399698,76777,4327589,2530383,498490,1.24716661079115
2025,267,126481,298927,64473,4392062,1824249,384514,1.28631404991854
