day,count_users,count_pages,count_edits,count_newver,sum_score,sum_scoredif,scoredif_per_edit
2025-09-01,12,292,831,150,3913,1013,1.21901323706378
2025-09-02,13,309,664,126,4214,1098,1.65361445783133
2025-09-03,10,214,565,105,3520,1067,1.88849557522124
2025-09-04,9,229,508,56,3246,789,1.55314960629921
2025-09-05,8,161,400,101,1691,615,1.5375
2025-09-06,9,153,302,35,2476,766,2.5364238410596
2025-09-07,9,135,319,69,2096,823,2.57993730407523
2025-09-08,14,281,682,119,4525,1307,1.91642228739003
2025-09-09,16,444,1034,141,6873,1389,1.34332688588008
2025-09-10,9,258,700,142,3256,1029,1.47
2025-09-11,10,297,749,189,3609,1426,1.90387182910547
2025-09-12,10,459,1135,298,4336,1555,1.37004405286344
2025-09-13,10,340,932,221,4353,1638,1.75751072961373
2025-09-14,10,234,674,164,3909,1252,1.85756676557863
2025-09-15,11,300,747,165,3454,1127,1.50870147255689
2025-09-16,11,421,1020,205,6611,2169,2.12647058823529
2025-09-17,11,572,1433,319,6556,2259,1.57641311933008
2025-09-18,14,465,1200,250,6058,2166,1.805
2025-09-19,13,454,1125,307,5173,2007,1.784
2025-09-20,10,407,1028,248,5709,2288,2.22568093385214
2025-09-21,14,561,1077,321,5813,2837,2.63416898792943
2025-09-22,9,391,744,150,5001,2101,2.8239247311828
2025-09-23,11,380,908,251,5419,2154,2.37224669603524
2025-09-24,12,432,1070,188,7115,1862,1.74018691588785
2025-09-25,10,260,651,180,2752,1027,1.57757296466974
2025-09-26,10,331,908,167,4486,1900,2.09251101321586
2025-09-27,12,233,635,122,3243,1449,2.28188976377953
2025-09-28,7,189,475,168,1475,746,1.57052631578947
2025-09-29,14,359,1146,218,7535,2427,2.11780104712042
2025-09-30,14,149,471,88,2958,908,1.92781316348195
