month,count_users,count_pages,count_edits,count_newver,cumulative_newver,sum_score,sum_scoredif,scoredif_per_edit
2006-10,5,16,94,16,16,709,-215,-2.28723404255319
2006-11,11,151,405,140,156,2324,-999,-2.46666666666667
2006-12,14,681,1688,625,781,11340,-408,-0.241706161137441
2007-01,21,446,1185,386,1167,7113,-911,-0.768776371308017
2007-02,44,42334,44924,42260,43427,163292,-28391,-0.631978452497551
2007-03,89,58020,59348,57744,101171,222409,-37881,-0.638286041652625
2007-04,225,156205,161170,155279,256450,710890,186628,1.15795743624744
2007-05,72,18512,24837,17432,273882,109939,27438,1.1047227926078
2007-06,97,55552,59558,54621,328503,380337,139999,2.35063299640686
2007-07,113,108299,117883,107303,435806,377680,-56625,-0.480349159760101
2007-08,109,70120,80293,68700,504506,385758,140708,1.75243171882979
2007-09,347,202124,209512,201252,705758,1184372,451161,2.15338978196953
2007-10,138,27333,36024,25850,731608,226607,57940,1.60837219631357
2007-11,151,115726,125443,113276,844884,415860,-71910,-0.573248407643312
2007-12,126,60859,68853,58692,903576,325362,83996,1.21993231957939
2008-01,133,33993,42214,32097,935673,301829,97225,2.30314587577581
2008-02,102,57495,65890,54199,989872,486031,209851,3.18486872059493
2008-03,107,54984,68432,51573,1041445,531598,247331,3.61425941080196
2008-04,90,52088,68327,48107,1089552,670619,262935,3.84818592942761
2008-05,110,57649,77539,53054,1142606,518521,160284,2.06714040676305
2008-06,101,83314,97711,79234,1221840,400982,77155,0.789624504917563
2008-07,119,48310,61303,45098,1266938,312270,60344,0.984356393651208
2008-08,126,40295,60392,35322,1302260,297519,49108,0.813154060140416
2008-09,103,34059,58673,29877,1332137,314258,90757,1.54682733114039
2008-10,104,29965,55204,18307,1350444,326119,109928,1.99130497790015
2008-11,140,48002,79307,31035,1381479,559316,185740,2.34203790333766
2008-12,145,41667,66756,28894,1410373,382263,146328,2.19198274312421
2009-01,207,95740,129541,87429,1497802,589135,352613,2.72201851151373
2009-02,154,44301,81809,27888,1525690,539117,139378,1.70370008189808
2009-03,182,65169,114185,46543,1572233,748304,349566,3.06140035906643
2009-04,120,35185,64624,18089,1590322,425839,107600,1.66501609309235
2009-05,138,46608,77507,25128,1615450,478908,145055,1.87150837988827
2009-06,176,39849,70442,20743,1636193,467438,141007,2.00174611737316
2009-07,154,41904,70642,24229,1660422,453061,144734,2.04883780187424
