year,count_users,count_pages,count_edits,count_newver,cumulative_newver,sum_score,sum_scoredif,scoredif_per_edit
2006,19,577,1060,577,577,10136,-1246,-1.17547169811321
2007,1099,668981,706964,668956,669533,4015213,972101,1.37503606972915
2008,799,400514,530451,374893,1044426,4444049,1639093,3.08999888773892
2009,963,321426,551951,251371,1295797,4456661,1739746,3.15199356464614
2010,912,303753,496159,256026,1551823,2980858,1190306,2.39904143631376
2011,1563,317233,571949,228939,1780762,4604099,1647195,2.8799683188536
2012,1608,326115,593007,246068,2026830,5359051,1990182,3.35608517268768
2013,1380,363612,721066,247598,2274428,6989006,2207666,3.06166980553791
2014,1217,259254,536725,161144,2435572,5304182,1644422,3.06380735013275
2015,981,221701,439165,138341,2573913,4384624,1505976,3.42918037639612
2016,757,158844,306010,82762,2656675,3020284,852125,2.78463122120192
2017,615,255861,444360,98293,2754968,4629423,931423,2.09610000900171
2018,584,140462,261819,68715,2823683,2854089,897957,3.42968615723076
2019,487,121025,224751,50386,2874069,2431426,650370,2.89373573421253
2020,441,125404,243401,57097,2931166,2342769,610284,2.50731919753822
2021,452,141527,262389,57685,2988851,2470191,495176,1.8871827706192
2022,377,129817,244780,62833,3051684,2454444,728886,2.97771876787319
2023,333,107235,207103,42893,3094577,2140265,517454,2.49853454561257
2024,309,108647,206265,55459,3150036,1829528,425587,2.06330206288028
2025,287,98349,186438,58106,3208142,1656533,482415,2.58753580278699
2026,16,372,600,162,3208304,6390,1963,3.27166666666667
