day,count_users,count_pages,count_edits,count_newver,sum_score,sum_scoredif,scoredif_per_edit
2025-09-16,11,427,1028,205,6696,1323,1.28696498054475
2025-09-17,11,572,1433,319,6556,1699,1.18562456385206
2025-09-18,14,465,1200,250,6058,1749,1.4575
2025-09-19,13,454,1125,307,5173,1480,1.31555555555556
2025-09-20,10,409,1030,248,5713,1897,1.84174757281553
2025-09-21,14,575,1091,331,5989,2151,1.97158570119157
2025-09-22,9,395,749,150,5011,1321,1.76368491321762
2025-09-23,11,382,912,251,5441,1450,1.58991228070175
2025-09-24,12,433,1071,188,7116,1121,1.04668534080299
2025-09-25,10,260,651,180,2752,823,1.2642089093702
2025-09-26,10,334,911,167,4498,1302,1.42919868276619
2025-09-27,12,234,636,122,3255,805,1.26572327044025
2025-09-28,7,190,476,168,1475,514,1.07983193277311
2025-09-29,14,363,1151,218,7556,1153,1.00173761946134
2025-09-30,14,149,471,88,2958,608,1.29087048832272
2025-10-01,13,376,824,207,3835,1147,1.39199029126214
2025-10-02,9,359,858,282,4491,1477,1.72144522144522
2025-10-03,12,229,737,163,4125,832,1.12890094979647
2025-10-04,15,1893,2075,1790,14993,13876,6.68722891566265
2025-10-05,10,356,861,217,3882,1149,1.33449477351916
2025-10-06,13,369,949,236,4591,1142,1.20337197049526
2025-10-07,12,230,571,130,2767,429,0.751313485113835
2025-10-08,13,294,699,200,4383,767,1.09728183118741
2025-10-09,17,482,946,277,4573,653,0.690274841437632
2025-10-10,14,486,957,276,5113,1627,1.70010449320794
2025-10-11,13,798,1512,499,7905,948,0.626984126984127
2025-10-12,15,446,1005,270,6202,1510,1.50248756218905
2025-10-13,14,429,842,252,4288,1011,1.20071258907363
2025-10-14,12,657,1354,405,6129,1590,1.17429837518464
2025-10-15,12,331,777,187,3935,792,1.01930501930502
2025-10-16,1,8,15,1,102,33,2.2
