first_edit_month,users_this_month,users_retained,retention_percent
2006-10,5,4,80.0
2006-11,8,3,37.5
2006-12,6,4,66.6666666666667
2007-01,11,2,18.1818181818182
2007-02,30,7,23.3333333333333
2007-03,72,19,26.3888888888889
2007-04,193,38,19.6891191709845
2007-05,35,13,37.1428571428571
2007-06,73,15,20.5479452054795
2007-07,79,20,25.3164556962025
2007-08,73,24,32.8767123287671
2007-09,300,77,25.6666666666667
2007-10,77,17,22.0779220779221
2007-11,91,27,29.6703296703297
2007-12,68,14,20.5882352941176
2008-01,75,13,17.3333333333333
2008-02,51,8,15.6862745098039
2008-03,60,12,20.0
2008-04,47,14,29.7872340425532
2008-05,57,13,22.8070175438596
2008-06,47,11,23.4042553191489
2008-07,61,15,24.5901639344262
2008-08,73,17,23.2876712328767
2008-09,51,10,19.6078431372549
2008-10,38,9,23.6842105263158
2008-11,61,13,21.3114754098361
2008-12,62,10,16.1290322580645
2009-01,117,18,15.3846153846154
2009-02,63,19,30.1587301587302
2009-03,84,18,21.4285714285714
2009-04,46,13,28.2608695652174
2009-05,52,10,19.2307692307692
2009-06,93,13,13.9784946236559
2009-07,53,12,22.6415094339623
2009-08,57,10,17.5438596491228
2009-09,54,12,22.2222222222222
2009-10,53,13,24.5283018867925
2009-11,44,8,18.1818181818182
2009-12,23,2,8.69565217391304
2010-01,40,9,22.5
2010-02,29,5,17.2413793103448
2010-03,71,13,18.3098591549296
2010-04,57,13,22.8070175438596
2010-05,49,10,20.4081632653061
2010-06,45,4,8.88888888888889
2010-07,56,11,19.6428571428571
2010-08,92,12,13.0434782608696
2010-09,73,9,12.3287671232877
2010-10,57,12,21.0526315789474
2010-11,83,16,19.2771084337349
2010-12,63,9,14.2857142857143
2011-01,80,20,25.0
2011-02,65,16,24.6153846153846
2011-03,72,13,18.0555555555556
2011-04,112,21,18.75
2011-05,91,17,18.6813186813187
2011-06,111,18,16.2162162162162
2011-07,139,15,10.7913669064748
2011-08,158,19,12.0253164556962
2011-09,106,11,10.377358490566
2011-10,122,21,17.2131147540984
2011-11,113,17,15.0442477876106
2011-12,148,20,13.5135135135135
2012-01,118,16,13.5593220338983
2012-02,127,16,12.5984251968504
2012-03,120,10,8.33333333333333
2012-04,132,15,11.3636363636364
2012-05,98,15,15.3061224489796
2012-06,111,16,14.4144144144144
2012-07,115,6,5.21739130434783
2012-08,99,16,16.1616161616162
2012-09,99,10,10.1010101010101
2012-10,87,6,6.89655172413793
2012-11,83,12,14.4578313253012
2012-12,84,6,7.14285714285714
2013-01,113,18,15.929203539823
2013-02,77,12,15.5844155844156
2013-03,95,10,10.5263157894737
2013-04,87,8,9.19540229885057
2013-05,85,10,11.7647058823529
2013-06,88,11,12.5
2013-07,76,9,11.8421052631579
2013-08,85,8,9.41176470588235
2013-09,70,13,18.5714285714286
2013-10,93,12,12.9032258064516
2013-11,77,10,12.987012987013
2013-12,65,11,16.9230769230769
2014-01,93,18,19.3548387096774
2014-02,66,10,15.1515151515152
2014-03,78,7,8.97435897435897
2014-04,81,8,9.87654320987654
2014-05,69,2,2.89855072463768
2014-06,63,5,7.93650793650794
2014-07,69,9,13.0434782608696
2014-08,74,4,5.40540540540541
2014-09,57,5,8.7719298245614
2014-10,75,6,8.0
2014-11,55,7,12.7272727272727
2014-12,64,4,6.25
2015-01,69,7,10.1449275362319
2015-02,80,10,12.5
2015-03,58,8,13.7931034482759
2015-04,67,5,7.46268656716418
2015-05,47,3,6.38297872340426
2015-06,47,4,8.51063829787234
2015-07,55,1,1.81818181818182
2015-08,48,3,6.25
2015-09,49,3,6.12244897959184
2015-10,39,4,10.2564102564103
2015-11,31,3,9.67741935483871
2015-12,41,0,0.0
2016-01,60,4,6.66666666666667
2016-02,52,6,11.5384615384615
2016-03,49,4,8.16326530612245
2016-04,41,5,12.1951219512195
2016-05,35,4,11.4285714285714
2016-06,31,2,6.45161290322581
2016-07,41,3,7.31707317073171
2016-08,36,5,13.8888888888889
2016-09,30,3,10.0
2016-10,26,3,11.5384615384615
2016-11,28,3,10.7142857142857
2016-12,36,6,16.6666666666667
2017-01,30,6,20.0
2017-02,32,4,12.5
2017-03,36,4,11.1111111111111
2017-04,36,0,0.0
2017-05,27,4,14.8148148148148
2017-06,30,3,10.0
2017-07,27,3,11.1111111111111
2017-08,25,2,8.0
2017-09,19,1,5.26315789473684
2017-10,31,4,12.9032258064516
2017-11,27,3,11.1111111111111
2017-12,29,3,10.3448275862069
2018-01,29,0,0.0
2018-02,28,4,14.2857142857143
2018-03,40,2,5.0
2018-04,28,3,10.7142857142857
2018-05,23,3,13.0434782608696
2018-06,19,2,10.5263157894737
2018-07,28,2,7.14285714285714
2018-08,20,2,10.0
2018-09,27,2,7.40740740740741
2018-10,17,2,11.7647058823529
2018-11,16,2,12.5
2018-12,29,5,17.2413793103448
2019-01,29,3,10.3448275862069
2019-02,20,1,5.0
2019-03,25,1,4.0
